LY658671.1,1635,EH23a.chr7,65496500,1,1635,30706708,30705074,0.0,3014,1632,1635,99.939,1634,1,1634,0,0,99.94,minus
LY658671.1,1635,EH23a.chr7,65496500,1,1635,30774874,30773240,0.0,3009,1629,1635,99.878,1633,2,1633,0,0,99.88,minus
LY658671.1,1635,EH23a.chr7,65496500,1,1635,30824591,30822957,0.0,3003,1626,1635,99.817,1632,3,1632,0,0,99.82,minus
LY658671.1,1635,EH23a.chr7,65496500,1,1635,11346499,11348133,0.0,2654,1437,1635,95.963,1569,66,1569,0,0,95.96,plus
LY658671.1,1635,EH23a.chr7,65496500,9,1635,10729382,10727765,0.0,2303,1247,1628,92.322,1503,114,1503,4,11,92.32,minus
LY658671.1,1635,EH23a.chr7,65496500,1,1635,12111396,12113030,0.0,2261,1224,1635,91.621,1498,137,1498,0,0,91.62,plus
LY658671.1,1635,EH23a.chr7,65496500,22,1635,12152758,12154371,0.0,2239,1212,1614,91.698,1480,134,1480,0,0,91.70,plus
LY658671.1,1635,EH23a.chr7,65496500,1,1635,12058485,12060119,0.0,2228,1206,1635,91.254,1492,143,1492,0,0,91.25,plus
LY658671.1,1635,EH23a.chr7,65496500,1,1633,12355452,12353823,0.0,2193,1187,1634,90.942,1486,143,1486,5,5,90.94,minus
LY658671.1,1635,EH23a.chr7,65496500,1,1635,12204189,12205820,0.0,2191,1186,1636,90.892,1487,144,1487,3,5,90.89,plus
AB292682.1,1635,EH23a.chr7,65496500,1,1635,11000018,10998385,0.0,2547,1379,1639,94.814,1554,76,1554,4,9,94.81,minus
AB292682.1,1635,EH23a.chr7,65496500,1,1635,11144210,11142579,0.0,2446,1324,1638,93.712,1535,94,1535,4,9,93.71,minus
AB292682.1,1635,EH23a.chr7,65496500,1,1635,12111396,12113033,0.0,2119,1147,1638,90.049,1475,160,1475,2,3,90.05,plus
AB292683.1,1638,EH23a.chr7,65496500,1,1638,12111396,12113033,0.0,2964,1605,1638,99.328,1627,11,1627,0,0,99.33,plus
AB292683.1,1638,EH23a.chr7,65496500,1,1638,12152743,12154374,0.0,2931,1587,1638,99.023,1622,10,1622,1,6,99.02,plus
AB292683.1,1638,EH23a.chr7,65496500,1,1638,12058485,12060122,0.0,2920,1581,1638,98.840,1619,19,1619,0,0,98.84,plus
